"Text";"Id"
"RT @isentoes2: O governo lançou o programa Verde Amarelo, que visa incentivar a contratação de jovens e busca gerar 1.8 milhão de empregos…";"1194015473911943175"
"RT @brasil247: Bolsonaro acaba com indenização do DPVAT para as vítimas de acidentes de trânsito https://t.co/PDRXuGhumV";"1194015473744203783"
"RT @Helenasth: Putin desembarca no Brasil, onde participa da cúpula dos Brics e avisa; Foi golpe em La Paz. A tentativa de Evo Morales de p…";"1194015472771092491"
"RT @Florisrs: Bolsonaro aproveita o golpe na Bolívia para defender o voto impresso no Brasil. 
Claro que você sabe porque isto né? Mas vou…";"1194015472183844867"
"RT @revistaforum: Bolsonaro está com medo de Lula. Com anúncio que o petista vai rodar o Brasil para falar dos desmandos que vem ocorrendo…";"1194015471814807552"
"RT @IvanValente: Pressão total no STF.

É hora de derrubar a decisão de Toffoli que suspendeu as investigações que usam dados do COAF.

São…";"1194015471110107141"
"? URGENTE ? 
NOVO PARTIDO DO NOSSO PRESIDENTE JAIR MESSIAS BOLSONARO
#AliancaPeloBrasil https://t.co/kQogqCU0nd";"1194015470162206721"
"RT @gleisi: Usando lenda urbana de que ninguém vai ser preso, aliados de Bolsonaro querem atropelar regras e forçar aprovação de PEC para a…";"1194015469998661637"
"RT @RevistaISTOE: O presidente disse que, na política, “ninguém faz nada sozinho”

https://t.co/CoiRfQ3ehK";"1194015469998608384"
"RT @_remina: CARALHO FODASE A PORRA DO CARLOS BOLSONARO POSTANDO FOTO IDIOTA

TA ACONTECENDO A PORRA DE UM GOLPE NA BOLÍVIA CARALHO

UM GOL…";"1194015463816204292"
"RT @PACHECO__WEB: ?URGENTE. O @jairbolsonaro + 26 deputados e 2 senadores, decidiram sair do PSL.
O presidente irá criar seu próprio partid…";"1194015462633476096"
"RT @paulocinturarj: O sonho do Diego(menino especial)era um video com as duas pessoas q ele admirava.
PRONTAMENTE FOI ATENDIDO.
( no fina d…";"1194015460859285505"
"Novo partido de Bolsonaro já tem nome: Aliança pelo Brasil https://t.co/3p79h7h6tD";"1194015460729270272"
"RT @bibonunes1: Governo Bolsonaro lança pacote para contratar jovens e pessoas acima de 55 anos, facilitando a vida do empregador.
Acabando…";"1194015457772285954"
"RT @MarceloFreixo: Golpistas da Bolívia invadiram jornal, amarraram jornalistas, incendiaram casas, sequestraram adversários e espancaram m…";"1194015455884849153"
"RT @LulaDias4: Eu não me lembro de ninguém indignado, jogando tomate podre e nem incitando o povo a estuprar familiares dos Ministros, quan…";"1194015453917650947"
"RT @ItamaratyGovBr: O presidente Bolsonaro @jairbolsonaro será o anfitrião dos presidentes de Rússia, China e África do Sul e do Primeiro-M…";"1194015452739047424"
"RT @felipetommy: Eduardo Bolsonaro esculacha na CCJ contra os petistas e destaque que o PT matou Celso Daniel!
#ImpeachmentGilmarMendes #CC…";"1194015451912773632"
"RT @umvicente: O BOLSONARO GRITANDO IHUUUUUUUUU 
este eh o tweet https://t.co/8eTIiCZqJS";"1194015451761823745"
"RT @_remina: CARALHO FODASE A PORRA DO CARLOS BOLSONARO POSTANDO FOTO IDIOTA

TA ACONTECENDO A PORRA DE UM GOLPE NA BOLÍVIA CARALHO

UM GOL…";"1194015451363368961"
"RT @felipeneto: Globo vem voando nos ataques sofridos pelo Bolsonaro e Lula.

A percepção do público médio cada vez mais fica influenciada…";"1194015450415415296"
"RT @_remina: CARALHO FODASE A PORRA DO CARLOS BOLSONARO POSTANDO FOTO IDIOTA

TA ACONTECENDO A PORRA DE UM GOLPE NA BOLÍVIA CARALHO

UM GOL…";"1194015445948542976"
"RT @brasil247: Bebianno: deslealdade é marca registrada da família Bolsonaro https://t.co/owkIPy7lNf";"1194015445004824576"
